alpha_v,alpha_j,alpha_cdr3,beta_v,beta_j,beta_cdr3,antigen,mhc
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,False,False,False,False,True
True,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,True,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,True,False,True,True
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,True,True
,,,False,False,False,False,True
,,,False,True,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
False,False,False,,,,False,False
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,True,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
False,False,False,,,,False,True
,,,False,True,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,False,False
False,False,False,,,,False,False
False,False,False,,,,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,False
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,True,False,True,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,True,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,True,True,False,False,True
False,True,False,,,,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,True,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,True,False,False,False,True
,,,False,True,False,False,False
False,False,False,,,,True,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,True,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,True,False,False,True
False,False,False,,,,True,True
,,,False,True,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
False,False,False,,,,False,False
False,False,False,,,,False,True
False,False,False,,,,False,False
False,False,False,,,,True,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,True,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,True,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,True,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,True,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,False
False,False,False,,,,False,True
,,,False,True,False,True,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,True,False,False,False
False,False,False,,,,False,True
,,,False,True,False,True,True
,,,False,False,False,True,True
,,,False,True,False,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,False
,,,False,False,False,False,True
,,,False,True,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,True,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,True,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,True,True
False,False,False,,,,True,True
True,False,False,,,,True,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,False,False
False,False,False,,,,True,True
,,,False,False,False,False,False
False,False,False,,,,True,True
False,False,False,,,,False,True
False,False,False,,,,False,True
False,False,False,,,,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,True,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,True,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,True,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,True,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,True,False,False,False
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,True,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
True,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
True,False,False,,,,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,True,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,True,False,False,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,True
,,,True,True,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,True,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,True,True,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,True,False,False,False,False
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,True,False,True,True
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,True,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,True,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
True,True,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,False
,,,True,False,False,False,False
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,True,False,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,True,False,False,True
False,False,False,,,,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,False
,,,False,True,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,True,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,False,True
,,,False,True,False,False,False
False,False,False,,,,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,False
True,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,True,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
False,False,False,,,,False,False
False,False,False,,,,False,True
False,False,False,,,,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,True,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
True,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
False,False,False,,,,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,True,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,True,True
False,False,False,,,,False,True
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,False,False
,,,False,True,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,True,True
True,False,False,,,,False,False
,,,False,True,False,False,False
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,True,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,True,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,True,True
False,False,False,,,,False,False
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
False,False,False,,,,False,False
,,,False,False,False,True,True
False,False,False,,,,False,True
False,False,False,,,,False,True
False,False,False,,,,True,True
False,False,False,,,,True,True
False,False,False,,,,True,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,True,False,False,False
False,False,False,,,,True,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,True,False,False,True
True,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,True,False,True,True
False,False,False,,,,False,True
,,,False,True,False,False,False
,,,False,False,False,True,True
False,False,False,,,,True,True
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,True,False,False,False,False
,,,False,True,False,False,False
False,False,False,,,,False,False
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,True,False,True,True
False,False,False,,,,False,True
,,,False,True,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,False,True
,,,False,True,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,True,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,False,False,False,True
,,,False,False,False,False,False
False,False,False,,,,False,True
False,False,False,,,,True,True
,,,False,False,False,True,True
,,,False,True,False,False,False
,,,False,True,False,False,True
False,False,False,,,,False,True
False,False,False,,,,False,False
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
False,False,False,,,,True,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,True,True
False,False,False,,,,True,True
False,False,False,,,,False,True
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
False,False,False,,,,True,True
,,,False,False,False,False,True
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
,,,False,False,False,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,False,False
False,False,False,,,,False,False
,,,False,False,False,False,True
,,,False,False,False,False,False
,,,False,False,False,False,True
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
,,,False,False,False,False,False
False,False,False,,,,True,True
,,,False,True,False,True,True
False,False,False,,,,False,False
,,,False,False,False,False,False
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,True
False,False,False,,,,False,True
,,,False,False,False,False,True
,,,False,False,False,False,True
,,,False,False,False,True,True
,,,False,False,False,False,False
False,False,False,,,,False,True
